"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,220,"SJM","Svalbard and Jan Mayen",1,"Jan Mayen","Territory","Territory",NA,NA
2,220,"SJM","Svalbard and Jan Mayen",2,"Svalbard","Territory","Territory",NA,NA
