name,type ,top,bottom,R,G,B
Triassic,Period,35,3.9,129,43,146
Permian,Period,3.9,-750,240,64,40
Vardebukta  Fm,Formation,233,0,255,255,255
Kapp Starostin Fm,Formation,0,-450,255,255,255
